5;13;13;28
DENOUERONT;TATERENT;PORCS;BERNE;DRAMATISERA;EU;PIRE;CEUX;KOTE;AU;ARES;PERLER;BECHIEZ;SCIERIEZ;NEY;LE;ORNEMENTALES;NE;YIN;OR;CE;MITOYENNETE;ERE;RE;PRIERIEZ;GO;RADE;ERRA;
O;O;R;N;E;M;E;N;T;A;L;E;S;
F;W;A;D;X;W;G;J;E;K;G;N;A;
X;I;D;R;M;Y;F;C;Z;O;U;E;K;
F;I;E;A;T;A;T;E;R;E;N;T;S;
L;N;N;M;X;M;I;P;C;Y;K;C;H;
B;R;O;A;U;R;O;Q;E;W;I;P;Z;
E;O;U;T;E;R;I;P;N;E;E;Z;F;
C;N;E;I;C;Y;A;R;R;E;R;T;A;
H;D;R;S;E;I;U;I;E;Y;E;N;F;
I;P;O;E;T;N;E;P;B;L;E;W;K;
E;L;N;R;O;Z;C;W;U;S;R;Q;U;
Z;H;T;A;K;F;L;Y;A;N;C;E;D;
E;T;E;N;N;E;Y;O;T;I;M;N;P;
